iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Sendinblue","Link and Unlink a deal with contacts and companies","PATCH","https://api.sendinblue.com/v3/crm/deals/link-unlink/6a91692ec3d3b6075a32ce54","Unauthorized","401","80","50",,,,"0","0","0","0"
"1","Sendinblue","Get deal attributes","GET","https://api.sendinblue.com/v3/crm/attributes/deals","Unauthorized","401","78","50","Response is JSON, Deal attributes are returned, Response is not empty, Response time is below 2000ms",,,"4","4","0","0"
"1","Sendinblue","Get a deal","GET","https://api.sendinblue.com/v3/crm/deals/","Unauthorized","401","76","50","Response is JSON, Response time is below 2000ms","Status code is 200, Deal ID exists, Returned deal ID matches requested deal, Deal contains attributes",,"6","2","4","0"
"1","Sendinblue","Delete a deal","DELETE","https://api.sendinblue.com/v3/crm/deals/","Unauthorized","401","79","50","No server error occurred, Response time is below 2000ms","Deal deleted successfully",,"3","2","1","0"
"1","Sendinblue","Update a deal","PATCH","https://api.sendinblue.com/v3/crm/deals/veniam elit in","Unauthorized","401","85","50",,,,"0","0","0","0"
"1","Sendinblue","Get all tasks","GET","https://api.sendinblue.com/v3/crm/tasks","Unauthorized","401","76","50","Response time is below 2000ms, Response is JSON","Response contains tasks, Tasks is an array, Each task has an ID",,"5","2","3","0"
"1","Sendinblue","Create a task","POST","https://api.sendinblue.com/v3/crm/tasks","Unauthorized","401","78","50","Response time is below 2000ms, Response is JSON","Task created successfully, Response contains task ID, Task ID is not empty",,"5","2","3","0"
"1","Sendinblue","Get all task types","GET","https://api.sendinblue.com/v3/crm/tasktypes","Unauthorized","401","78","50","Response time is below 2000ms, Response is JSON, Task types are returned, Task types response is not empty",,,"4","4","0","0"
"1","Sendinblue","Get a task","GET","https://api.sendinblue.com/v3/crm/tasks/","Unauthorized","401","79","50","Response is JSON, Response time is below 2000ms","Task contains an ID, Returned task matches requested task, Task name is present and a string",,"5","2","3","0"
"1","Sendinblue","Delete a task","DELETE","https://api.sendinblue.com/v3/crm/tasks/","Unauthorized","401","75","50","No server error occurred, Response time is below 2000ms","Task deleted or already does not exist",,"3","2","1","0"
